epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,5346.53,1.62759,1.1721,1.36681,0.67386,0.55171,0.59256,0.24812,1.97335,1.31526,1.57203,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
59,5439.54,1.60748,1.15491,1.35817,0.66636,0.58684,0.60791,0.25047,2.01225,1.28838,1.60919,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
60,5531.48,1.61433,1.14944,1.36635,0.63766,0.57253,0.58266,0.23709,2.00751,1.31919,1.61589,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053,0.024159,0.008053
61,5623.03,1.60492,1.1614,1.36734,0.6751,0.56996,0.598,0.24757,1.99048,1.29691,1.5899,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
62,5713.28,1.6113,1.15804,1.37076,0.62266,0.58291,0.57884,0.2354,1.9934,1.31055,1.60657,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987,0.023961,0.007987
63,5806.25,1.60444,1.15313,1.37658,0.66187,0.56437,0.59915,0.24674,1.99757,1.27506,1.62597,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,5899.06,1.59956,1.14983,1.36004,0.65296,0.56795,0.58943,0.24465,1.99056,1.2815,1.59885,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,5994.97,1.60633,1.14262,1.35906,0.68617,0.58157,0.61099,0.2483,2.01687,1.25782,1.61523,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,6089.98,1.58535,1.13598,1.35048,0.62642,0.57552,0.58085,0.23721,2.02514,1.28858,1.64381,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,6183.85,1.59323,1.13172,1.35208,0.63911,0.56056,0.56433,0.23205,1.99453,1.32322,1.62423,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,6278.5,1.56251,1.11684,1.33837,0.68584,0.59089,0.61599,0.24335,2.03884,1.2923,1.61869,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,6371.76,1.59513,1.11695,1.35056,0.65244,0.58837,0.58498,0.2369,2.03721,1.29434,1.62893,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,6468.06,1.57075,1.10243,1.34483,0.63586,0.5522,0.58422,0.24109,1.98036,1.2651,1.59099,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,6561.81,1.56818,1.11172,1.32687,0.70261,0.56307,0.59881,0.23792,1.99838,1.26076,1.60455,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,6655.73,1.55812,1.08673,1.3294,0.67565,0.58105,0.59685,0.24211,1.99001,1.24929,1.61608,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,6751.48,1.5749,1.0855,1.32933,0.64408,0.58626,0.58897,0.2414,2.02059,1.29659,1.62991,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,6855.59,1.55014,1.08017,1.33448,0.64343,0.59277,0.60387,0.24569,2.0148,1.26447,1.62123,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,6952.17,1.54864,1.07327,1.32733,0.68729,0.56861,0.58266,0.23076,2.06396,1.25171,1.68562,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,7047.44,1.56694,1.094,1.31872,0.67608,0.57357,0.60388,0.24864,2.01579,1.26185,1.62395,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,7141.09,1.52885,1.06511,1.32079,0.66637,0.57349,0.60952,0.24666,2.02588,1.25784,1.6421,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,7236.92,1.5335,1.06119,1.32449,0.66487,0.56255,0.60045,0.23911,2.05482,1.26602,1.6366,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,7332.09,1.5421,1.06669,1.31535,0.65428,0.57335,0.5846,0.232,2.04155,1.27542,1.6491,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,7423.97,1.53118,1.05897,1.31418,0.66961,0.59943,0.60226,0.23731,2.04725,1.2551,1.64305,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,7517.85,1.52158,1.03941,1.29719,0.62056,0.58562,0.57607,0.23242,2.05487,1.27723,1.66569,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,7611.97,1.52476,1.03447,1.31725,0.6486,0.58717,0.57641,0.2328,2.05661,1.2747,1.66765,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,7703.79,1.5442,1.05175,1.32022,0.64646,0.5871,0.59846,0.2491,2.01096,1.23819,1.61856,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,7796.48,1.52613,1.03639,1.31158,0.61054,0.58805,0.57933,0.23733,2.02121,1.26747,1.62167,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,7890.32,1.51712,1.04358,1.30485,0.65497,0.57599,0.59115,0.24242,2.04102,1.25997,1.65197,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,7985.35,1.50447,1.01561,1.29956,0.65265,0.57857,0.58047,0.23467,2.03666,1.26119,1.64374,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,8077.72,1.5139,1.02348,1.29596,0.64939,0.58676,0.5957,0.24025,2.02986,1.25248,1.64055,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,8172.44,1.51535,1.017,1.30316,0.65774,0.58257,0.59326,0.23431,2.01366,1.23603,1.60883,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,8267.47,1.5172,1.01108,1.30619,0.66703,0.57808,0.59408,0.24063,2.03767,1.23523,1.63625,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,8360.88,1.5186,1.02752,1.30456,0.68682,0.55707,0.57258,0.2349,2.0495,1.24074,1.6533,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,8454.88,1.51554,1.02817,1.30204,0.63203,0.58603,0.57268,0.2301,2.04178,1.24443,1.63768,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,8549.16,1.48102,1.00067,1.2848,0.65232,0.55019,0.57809,0.23012,2.05399,1.25612,1.66435,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,8642.95,1.50168,1.01394,1.28976,0.68088,0.56578,0.58691,0.23563,2.05422,1.23025,1.64588,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
